ID,cluster
21871,2
21888,0
21889,2
21917,2
21930,0
21940,0
21948,0
21999,0
22005,0
22023,0
22051,0
22060,0
22062,0
22100,0
22111,0
22115,0
22161,0
22167,2
22168,0
22172,0
22176,0
22181,0
22214,0
22220,0
22226,0
22254,2
22269,0
22278,0
22286,0
22298,0
22338,0
22345,0
22355,0
22373,0
22389,0
22390,0
22417,2
22439,0
22443,0
22460,0
22485,0
22504,0
22508,0
22512,0
22527,2
22537,0
22552,0
22561,0
22596,0
22623,0
22637,0
22670,2
22679,2
22696,0
22728,0
22756,0
22819,0
22856,0
22866,0
22874,0
22877,0
22878,0
22880,0
22899,0
22920,0
22937,0
22945,0
22957,0
23000,0
23010,2
23014,0
23139,0
23167,0
23181,0
23194,0
23266,2
